Seder,Masechet,Count,Agada_Count,Halacha_Count,percent_aggada,percent_halacha
Seder Kodashim,Arakhin,25048,0,25048,0,100
Seder Kodashim,Bekhorot,41529,0,41529,0,100
Seder Kodashim,Keritot,26965,0,26965,0,100
Seder Kodashim,Meilah,8426,0,8426,0,100
Seder Kodashim,Tamid,5179,0,5179,0,100
Seder Kodashim,Temurah,23750,0,23750,0,100
Seder Tahorot,Niddah,51868,0,51868,0,100
Seder Kodashim,Zevachim,70204,1475,68729,2.101019885,97.89898012
Seder Kodashim,Menachot,73912,1762,72150,2.383916008,97.61608399
Seder Nashim,Nazir,28855,769,28086,2.665049385,97.33495062
Seder Kodashim,Chullin,90928,3594,87334,3.952577864,96.04742214
Seder Nezikin,Bava Kamma,86254,3838,82416,4.449648712,95.55035129
Seder Moed,Beitzah,25855,1222,24633,4.726358538,95.27364146
Seder Nezikin,Shevuot,33414,1883,31531,5.635362423,94.36463758
Seder Nashim,Yevamot,86244,6282,79962,7.283984973,92.71601503
Seder Moed,Eruvin,69178,5585,63593,8.073375929,91.92662407
Seder Nezikin,Bava Metzia,86199,7605,78594,8.822608151,91.17739185
Seder Moed,Pesachim,83485,8768,74717,10.50248548,89.49751452
Seder Nashim,Gittin,62586,6960,55626,11.12069792,88.87930208
Seder Nashim,Ketubot,75111,8385,66726,11.16347805,88.83652195
Seder Moed,Sukkah,33103,3992,29111,12.05932997,87.94067003
Seder Nezikin,Horayot,12972,1687,11285,13.0049337,86.9950663
Seder Nashim,Kiddushin,60135,7895,52240,13.12879355,86.87120645
Seder Nezikin,Avodah Zarah,51816,7534,44282,14.53991045,85.46008955
Seder Nashim,Nedarim,35456,5222,30234,14.72811372,85.27188628
Seder Nezikin,Makkot,17676,2994,14682,16.93822132,83.06177868
Seder Nezikin,Bava Batra,90618,16092,74526,17.75806131,82.24193869
Seder Moed,Shabbat,116943,21739,95204,18.58939825,81.41060175
Seder Moed,Moed Katan,22887,4350,18537,19.00642286,80.99357714
Seder Moed,Yoma,57392,12504,44888,21.78700864,78.21299136
Seder Moed,Rosh Hashanah,23898,5277,18621,22.08134572,77.91865428
Seder Zeraim,Berakhot,71301,21712,49589,30.45118582,69.54881418
Seder Moed,Megillah,29160,9313,19847,31.93758573,68.06241427
Seder Moed,Chagigah,18742,6451,12291,34.42001921,65.57998079
Seder Nezikin,Sanhedrin,102989,39663,63326,38.51187991,61.48812009
Seder Nashim,Sotah,39219,18496,20723,47.16081491,52.83918509
Seder Moed,Taanit,26781,12641,14140,47.20137411,52.79862589
