,name,birth,death,link,location,description
0,Isaac Abendana,1640,1699,https://en.wikipedia.org/wiki/Isaac_Abendana,,17th-century sephardic scholar in england
1,Jacob Abendana,1630,1685,https://en.wikipedia.org/wiki/Jacob_Abendana,,17th-century sephardic rabbi in england
2,Isaac Aboab da Fonseca,1605,1693,https://en.wikipedia.org/wiki/Isaac_Aboab_da_Fonseca,,"17th-century dutch scholar and kabbalist, first rabbi in the americas"
3,Abraham Amigo,1610,1683,https://en.wikipedia.org/wiki/Abraham_Amigo,,Judean rabbi
4,Bezalel Ashkenazi (Shittah Mekubetzet),1520,1592,https://en.wikipedia.org/wiki/Bezalel_Ashkenazi,,16th-century talmudist
5,Tzvi Ashkenazi (Chacham Tzvi),1656,1718,https://en.wikipedia.org/wiki/Tzvi_Ashkenazi,,17th-century german talmudist
6,Yair Bacharach (Havvot Yair),1639,1702,https://en.wikipedia.org/wiki/Yair_Bacharach,,
8,Abraham ben Saul Broda,1640,1717,https://en.wikipedia.org/wiki/Abraham_ben_Saul_Broda,,Bohemian talmudist
9,Naphtali Cohen,1649,1718,https://en.wikipedia.org/wiki/Naphtali_Cohen,,Russo-german rabbi and kabbalist
10,Moses ben Jacob Cordovero (RaMaK),1522,1570,https://en.wikipedia.org/wiki/Moses_ben_Jacob_Cordovero,,16th-century holy land kabbalistic scholar
11,Samuel Edels (Mahrsha),1555,1631,https://en.wikipedia.org/wiki/Samuel_Edels,,16th-century talmudist
12,David HaLevi Segal (Taz),1586,1667,https://en.wikipedia.org/wiki/David_HaLevi_Segal,,"16th-century halakhist, major commentary on the shulchan aruch"
13,Abraham Cohen de Herrera (RabACH),1570,1635,https://en.wikipedia.org/wiki/Abraham_Cohen_de_Herrera,,16th-century kabbalist and philosopher spanish and portuguese jews
14,Hillel ben Naphtali Zevi (Bet Hillel),1615,1690,https://en.wikipedia.org/wiki/Hillel_ben_Naphtali_Zevi,,17th-century lithuanian scholar
15,Isaiah Horowitz (Shlah),1565,1632,https://en.wikipedia.org/wiki/Isaiah_Horowitz,,"16th-century kabbalist and author, eastern europe and israel"
16,Moshe Isserles (Rema),1520,1572,https://en.wikipedia.org/wiki/Moshe_Isserles,,"16th-century polish legal scholar, author of ha-mappah (component of the shulchan aruch)"
17,Yosef Karo (Mechaber),1488,1575,https://en.wikipedia.org/wiki/Yosef_Karo,,16th-century spanish and land of israel legal codifier of the shulchan aruch
18,Meir ben Isaac,1482,1565,https://en.wikipedia.org/wiki/Meir_Padua,,
19,Samuel Judah Katzenellenbogen,1521,1597,https://en.wikipedia.org/wiki/Samuel_Judah_Katzenellenbogen,,
20,Elijah Loans,1555,1636,https://en.wikipedia.org/wiki/Elijah_Loans,,16th–17th-century german rabbi and kabbalist
21,Judah Low ben Bezalel (Maharal),1512,1609,https://en.wikipedia.org/wiki/Judah_Low_ben_Bezalel,,16th-century prague mystic and talmudist
22,Meir of Lublin (Maharam),1558,1616,https://en.wikipedia.org/wiki/Meir_Lublin,,16th-century posek and talmudist
23,Shlomo Ephraim Luntschitz,1550,1619,https://en.wikipedia.org/wiki/Shlomo_Ephraim_Luntschitz,,16th–17th-century torah commentator
