Seder,Masechet,Count,adjusted_count
Seder Kodashim,Arakhin,26,52.351407459839265
Seder Kodashim,Bekhorot,28,34.004361654148546
Seder Kodashim,Chullin,116,64.3410907828469
Seder Kodashim,Keritot,35,65.46296751043646
Seder Kodashim,Meilah,4,23.94234063163567
Seder Kodashim,Menachot,86,58.68289975222544
Seder Kodashim,Tamid,7,68.16794434906039
Seder Kodashim,Temurah,34,72.20102645803698
Seder Kodashim,Zevachim,83,59.62718456020832
Seder Moed,Beitzah,57,111.18811877048195
Seder Moed,Chagigah,17,45.74683540653021
Seder Moed,Eruvin,166,121.02306701161828
Seder Moed,Megillah,38,65.72402402402402
Seder Moed,Moed Katan,48,105.774367367761
Seder Moed,Pesachim,111,67.05676468826735
Seder Moed,Rosh Hashanah,30,63.312252749862594
Seder Moed,Shabbat,268,115.58158132478955
Seder Moed,Sukkah,75,114.2673032818941
Seder Moed,Taanit,21,39.547640168453434
Seder Moed,Yoma,90,79.08957082256497
Seder Nashim,Gittin,95,76.55516171909615
Seder Nashim,Ketubot,123,82.59041267572641
Seder Nashim,Kiddushin,95,79.6754194953247
Seder Nashim,Nazir,18,31.46150510239923
Seder Nashim,Nedarim,49,69.70026191579666
Seder Nashim,Sotah,27,34.72124721677235
Seder Nashim,Yevamot,97,56.724530778169296
Seder Nezikin,Avodah Zarah,63,61.32036540941126
Seder Nezikin,Bava Batra,143,79.58837424460148
Seder Nezikin,Bava Kamma,89,52.040184897026315
Seder Nezikin,Bava Metzia,110,64.36036913954291
Seder Nezikin,Horayot,14,54.43135735180138
Seder Nezikin,Makkot,24,68.47867011614466
Seder Nezikin,Sanhedrin,100,48.970803231937914
Seder Nezikin,Shevuot,43,64.90349084944165
Seder Tahorot,Niddah,61,59.31416235391711
Seder Zeraim,Berakhot,87,61.5391793527023
