	Primary English Name	Secondary English Names	Primary Hebrew Name	Secondary Hebrew Names	Birth Year 	Birth Place	Death Year	Death Place	Halachic Era	English Biography	Hebrew Biography	English Wikipedia Link	Hebrew Wikipedia Link	Jewish Encyclopedia Link	Brill Online Reference Words (Encyclopedia of Jewish in the Islamic, Encyclopedia of the Hebrew Language, Encyclopedia of Judaism)
2	Rashi	Shlomo Yitzchaki, Salomon Isaacides	רש״י	רבי שלמה יצחקי	1040.0	Troyes, France	1105.0	Troyes, France	Rishonim	"Shlomo ben Yitzhak, best known by the acronym ""Rashi"", was an early and influential medieval Torah and Talmud commentator. He was born in Troyes, France, and as a young man he studied in the yeshivot of Worms and Mainz. At the age of twenty-five he returned to Troyes and opened his own yeshiva. He supported his family and his yeshiva by growing grapes and producing and selling wine.Widely known as the father of all commentators, his commentary on the Bible and Talmud is considered an indispensable tool for Torah study. He described his aim as clarifying the ""peshat"" or ""plain-sense"" meaning of each verse. He was also a posek who authored responsa."	"שלמה בן יצחק, הידוע על פי ראשי התיבות ""רש""י"", היה פרשן קדום ובעל השפעה שפירש את התנ""ך והתלמוד. הוא חי בימי הביניים בצרפת. ידוע כ""אבי כל הפרשנים"", ופירושו על התנ""ך ותלמוד נחשב לכלי הכרחי ללימוד התורה. המטרה שלו הייתה הבהרת הפשט, המשמעות הפשוטה של כל פסוק. רש""י עסק גם בפסקי הלכה וחיבר שו""תים. "	https://en.wikipedia.org/wiki/Rashi	https://he.wikipedia.org/wiki/רש%22י	http://www.jewishencyclopedia.com/articles/12585-rashi-solomon-bar-isaac	http://referenceworks.brillonline.com/entries/encyclopaedia-of-judaism/rashi-COM_0157
3	Meir ben Shmuel	"Ra""M"	מאיר בן שמואל	"ר""ם"	1060.0	Ramerupt, France	1135.0		Rishonim	Meir ben Shmuel was a French rabbi and one of the early Baa'lei HaTosfot. He was one of the founders of the Tosafot school and approach to Talmudic commentary. He was a son-in-law of Rashi, and three of his sons, Rashbam, Rivam and Rabbenu Tam, were amongst the greatest talmudists and tosafists, as well as leaders of their generation. 	"מאיר בן שמואל היה רב צרפתי ואחד מבעלי התוספות המוקדמים. היה אחד ממייסדי אסכולת התוספות והגישה לפרשנות התלמוד. היה חתנו של רש""י, ושלושה מבניו – רשב""ם, ריב""ם ורבנו תם – היו מגדולי חכמי התלמוד והתוספות, וכן מנהיגים בדורם."	https://en.wikipedia.org/wiki/Meir_ben_Samuel	https://he.wikipedia.org/wiki/%D7%9E%D7%90%D7%99%D7%A8_%D7%91%D7%9F_%D7%A9%D7%9E%D7%95%D7%90%D7%9C	http://www.jewishencyclopedia.com/articles/14457-tosafot#anchor46	
4	Rambam	Moshe ben Maimon, Maimonides, Moses Maimonides	"רמב""ם"	משה בן מימון	1137.0	Cordoba, Spain	1204.0	Fustat, Egypt	Rishonim	Rabbi Moshe ben Maimon (Rambam) was perhaps the greatest intellectual and spiritual figure of post-Talmudic Judaism. He wrote indispensable works of philosophy, Halacha, commentary, and responsa. Born in Spain, his family fled while he was still a youth. After an extended period in Morocco, he settled in Egypt, where he became Nagid (leader) of the Jewish community. His works were all foundational in their field. He was the first to produce a comprehensive commentary on the entire Mishnah. His great work of philosophy, Moreh Nevuchim, spawned an entire discipline and had incalculable influence upon enthusiastic promoters and vehement opponents alike. His code of law, Mishneh Torah, is the first and unsurpassed comprehensive code of Jewish law and practice. He also served as court physician to the Muslim leader Saladin. All of his works were written in Judeo-Arabic except for Mishneh Torah, which was written in a magnificent Hebrew. The precision of his expression is legendary. His descendents served as Negidim of Egypt for another four generations.	"רבי משה בן מימון (רמב""ם) נחשב לאחד הגדולים בחכמתו וברוחניותו בתקופה הבתר-תלמודית. הוא כתב חיבורים חיוניים במחשבת ישראל, הלכה, פרשנות ושו""תים. נולד בספרד וברח עם משפחתו בעודו ילד. לאחר תקופה ממושכת במרוקו, הוא התיישב במצרים, ושם הפך לנגיד (מנהיג) של הקהילה היהודית. כל יצירתיו מהוות אבני יסוד בתחום שלהן. הרמב""ם היה הראשון שחיבר פרשנות מקיפה למשנה כולה. חיבורו במחשבת ישראל, מורה נבוכים, הביא לעולם דיסציפלינה שלמה והשפיע בצורה בלתי ניתנת לשיעור על תומכים נלהבים ועל מתנגדים חריפים כאחד. חיבורו ההלכתי, המשנה תורה, הוא החיבור ההלכתי מקיף שאין כמותו. הרמב""ם שימש גם כרופא חצר של המנהיג המוסלמי צלאח א-דין. כל יצירותיו נכתבו בערבית-יהודית, חוץ מהמשנה תורה, שנכתבה בעברית משובחת מאוד. הדיוק בצורת הביטוי שלו הוא אגדי. צאצאיו שימשו כנגידים של מצרים לארבעה דורות נוספים."	https://en.wikipedia.org/wiki/Maimonides	https://he.wikipedia.org/wiki/רמב%22ם	http://www.jewishencyclopedia.com/articles/11124-moses-ben-maimon	http://referenceworks.brillonline.com/entries/encyclopedia-of-jews-in-the-islamic-world/m-maimonides-moses-rambam-mallah-moses-aaron-SIM_INDEXM2?s.num=0&s.f.s2_parent=s.f.book.encyclopedia-of-jews-in-the-islamic-world&s.q=Rambam
5	Ramban	Nachmanides, Moses ben Nahman Girondi	רמב״ן	רבי משה בן נחמן	1194.0	Girona, Catalonia, Spain	1270.0	Akko	Rishonim	Moshe ben Nachman, also known as Ramban, was a leading Torah scholar of the middle ages who authored commentaries on Torah and the Talmud. He was a posek who wrote responsa and stand-alone works on Halachic topics, as well as works on mysticism, science and philosophy. Ramban's commentary on the Torah often critiques earlier commentaries and incorporates kabbalistic teachings. He was born in Gerona, Spain, where he established a large yeshiva which produced hundreds of disciples who became leaders of Spanish Jewry. In 1263 he took part in a debate in Barcelona with an apostate Jew named Pablo Christiani, at the behest of the Church. In 1267, at the age of 72, he immigrated to the Holy Land, where he settled in Akko (Acre). He died there at age 76.	"רבי משה בן נחמן, הידוע כרמב""ן, היה מגדולי חכמי ספרד שחיבר פירושים על התורה והתלמוד. הוא היה פוסק הלכה שכתב שו""תים וחיבורים עצמאיים בנושאים הלכתיים, כמו גם חיבורים על קבלה, מדע ופילוסופיה. פירושו של הרמב""ן על התורה מבקר לעתים קרובות פירושים קודמים, ומשלב את תורת קבלה. הוא נולד בגירונה שבצפון ספרד, ועלה לארץ ישראל בגיל 76 והתיישב בעכו, שם הוא נפטר בגיל 76."	https://en.wikipedia.org/wiki/Nahmanides	https://he.wikipedia.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9F	http://www.jewishencyclopedia.com/articles/11129-moses-ben-nahman-gerondi	http://referenceworks.brillonline.com/search?s.num=0&s.rows=20&s.mode=DEFAULT&s.f.s2_parent=encyclopedia-of-hebrew-language-and-linguistics&s.au=&s.excl=&s.sub=&s.start=0&s.q=nachmanides&s.head=
6	Rashbam	Shemuel ben Meir	רשב״ם	שמואל בן מאיר	1085.0		1174.0		Rishonim	"Shmuel ben Meir (Rashbam) was a French Tosafist and Torah commentator. He was a son of Rashi's daughter, Yocheved, and older brother of the famous Tosafists, Isaac ben Meir (Rivam) and Jacob ben Meir (Rabbeinu Tam). His Torah commentary is concise, and hews strictly to the concept of the ""peshat"" or plain-sense meaning of the text, sometimes at the expense of received rabbinic traditions. He does not hesitate to argue with Rashi when he feels that his commentary strayed from the plain meaning of the verse. Rashbam also wrote a lengthier commentary on the Talmud, portions of which are printed in the Vilna Shas where no commentary of Rashi is available. Rashbam's opinions are also frequently mentioned in the Tosafot throughout Shas.       "	"שמואל בן מאיר היה מראשוני בעלי התוספות ומגדולי פרשני המקרא והתלמוד. הוא היה נכדו של רש""י, בנו של בתו יוכבד, ואחיהם הבכור של ריב""ם ורבינו תם. הוא חיבר פירוש קצר ותמציתי על התורה שדבק בקפדנות במושג ה""פשט"", לפעמים על חשבון מסורות רבניות מקובלות, ואינו מהסס לחלוק על זקנו רש""י כשסובר שהוא נדד מעומק הפשט. הוא כתב גם פירוש על התלמוד, בדומה לזה של רש""י אך יותר באריכות,  שממנו נדפסו חלקים במקומות שאין עליהם פירוש רש""י. הוא גם מוזכר פעמים רבות בתוך דברי התוספות במסכתות הש""ס."	https://en.wikipedia.org/wiki/Rashbam	https://en.wikipedia.org/wiki/Rashbam	http://www.jewishencyclopedia.com/articles/13128-samuel-b-meir-rashbam	
7	Rabbeinu Yonah of Gerondi	Yonah Gerondi, Yonah ben Abraham Gerondi	רבינו יונה	יונה גירונדי	1200.0	Girona, Catalonia, Spain	1264.0		Rishonim	Yonah Gerondi (Rabbeinu Yonah) was a Spanish rabbi, Talmudist and ethicist. His best-known work is Sha'arei Teshuva, a comprehensive work on repentance. He also wrote chiddushim (Talmudic novellae) on a number of tractates, quoted by contemporaries and later authors. He was one of the most prominent opponents of the Rambam's philosophical works. When the attacks on the Rambam's works culminated in a public burning of wagon-loads of Talmud by Christian authorities, Rabbeinu Yonah publicly admitted his error in involving outside players, and gave Rambam a prominent and revered place in his teaching. It is surmised that this turn of events motivated Rabbeinu Yonah to write Sha'arei Teshuva.	"יונה גירונדי (רבנו יונה) היה רב ספרדי, איש תלמוד ומוסר. חיבורו הידוע ביותר הוא ""שערי תשובה"", חיבור מקיף על תשובה. הוא כתב גם חידושים תלמודיים על כמה מסכתות וצוטט על ידי חכמים בני דורו ומאוחרים יותר. הוא היה אחד המתנגדים החשובים ליצירות הפילוסופיות של הרמב""ם. כשההתקפות על כתביו של הרמב""ם הובילו לכך שהנוצרים שרפו פומבית ערמות של ספרי התלמוד, רבנו יונה הודה בפני הציבור שטעה כשעירב גורמים חיצוניים, ונתן לרמב""ם מקום נכבד בהוראה שלו. יש הטוענים שמאורעות אלה הם שגרמו לרבנו יונה לכתוב את ""שערי תשובה""."	https://en.wikipedia.org/wiki/Yonah_Gerondi	https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%A0%D7%94_%D7%92%D7%99%D7%A8%D7%95%D7%A0%D7%93%D7%99	http://www.jewishencyclopedia.com/articles/11129-moses-ben-nahman-gerondi	
8	Ibn Ezra	Abraham Ben Meir Ibn Ezra	אבן עזרא	"אברהם אבן עזרא, ראב""ע"	1089.0	Tudela, Spain	1164.0	Shropshire, England	Rishonim	"Avraham ben Meir ibn Ezra, better known simply as Ibn Ezra, was a medieval Spanish Torah commentator, poet, philosopher and grammarian. While he wrote on grammar, philosophy, astronomy, medicine, and mathematics, he is most famous for his Biblical commentaries, which, alongside those of Rashi, are ubiquitous and indispensable. His commentaries focus on grammatical explanations and the ""peshat"" (plain-sense) meaning of the text. He often incorporates biting or humorous comments directed toward other commentators, especially towards the Karaites. He maintained a deep friendship with R. Yehudah Halevi, and quotes some of his interpretations in his commentaries. His poetry is still read and sung as part of the regular liturgy. Ibn Ezra knew great poverty and traveled widely, almost incessantly, teaching and making connections with fellow scholars, notably Rabbenu Tam in France. "	"אברהם בן מאיר אבן עזרא, הידוע כאבן עזרא, היה פרשן תורה ספרדי, משורר, הוגה דעות ומדקדק. אבן עזרא כתב על דקדוק, פילוסופיה, אסטרונומיה, רפואה ומתמטיקה, אך עבודתו המפורסמת ביותר היא פרשנותו לתנ""ך, שבדומה לרש""י, ידועה לכול ויקרת ערך. פרשנות המקרא של אבן עזרא מתמקדת בהסברים דקדוקיים ובמשמעות המילולית (הפשט) של פסוקים. אפשר למצוא בפירושו הערות עוקצניות או הומוריסטיות המכוונות לפרשנים אחרים, ובמיוחד לקראים. השירה שלו עדיין מהווה חלק מן התפילה הקבועה. אבן עזרא חי חיי עוני ונסע כמעט ללא הרף למקומות רבים בעולם, שם הרביץ תורה ברבים ויצר קשרים עם חכמים אחרים, ובעיקר עם רבנו תם מצרפת."	https://en.wikipedia.org/wiki/Abraham_ibn_Ezra	https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A8%D7%94%D7%9D_%D7%90%D7%91%D7%9F_%D7%A2%D7%96%D7%A8%D7%90	http://www.jewishencyclopedia.com/articles/435-abraham-ibn-ezra	http://referenceworks.brillonline.com/entries/encyclopedia-of-jews-in-the-islamic-world/ibn-ezra-abraham-abu-ishaq-COM_0010510
9	Shlomo Ephraim ben Aaron Luntschitz	Kli Yakar 	שלמה אפרים מלונטשיץ	כלי יקר	1550.0	Luntschitz, Poland	1619.0		Achronim	Shlomo Ephraim Luntschitz, popularly know as Kli Yakar after his homiletic commentary on the Torah, was a Polish rabbi who served as chief rabbi of Prague after the Maharal. He was famed as a gifted preacher whose derashot, or sermons, would captivate his many listeners. His writings focus on ethical matters, and his collected homiletical interpretations of Torah passages, Kli Yakar, remains one of the most popular works of its kind.       	"רבי שלמה אפרים מלונטשיץ היה הרב הראשי של פראג והוא כתב את הפירוש ""כלי יקר"" על התורה, וכן כמה אוספים אחרים של דרשות. הרבי מלונטשיץ (שנפטר בשנת 1619) היה רב פולני ונואם, והוא ידוע בעיקר בזכות פרשנותו לתורה. ה""כלי יקר"" הוא פירוש על התורה שכתוב בסגנון של מדרש."	https://en.wikipedia.org/wiki/Shlomo_Ephraim_Luntschitz	https://he.wikipedia.org/wiki/%D7%A9%D7%9C%D7%9E%D7%94_%D7%90%D7%A4%D7%A8%D7%99%D7%9D_%D7%9E%D7%9C%D7%95%D7%A0%D7%98%D7%A9%D7%99%D7%A5	http://www.jewishencyclopedia.com/articles/10188-luntschitz-solomon-ephraim	http://referenceworks.brillonline.com/search
10	Sforno	Seforno, Obadiah ben Jacob Sforno	ספורנו	עובדיה ספורנו	1470.0	Cesena	1550.0	Bologna	Rishonim	Ovadiah ben Ya'akov Seforno was an Italian rabbi, Biblical commentator, philosopher, halachic authority, and physician who wrote commentaries on a good portion of the Tanach. After an early period of wandering, he settled in Bologna, where he founded a yeshiva. Sforno was held in high regard by his contemporaries, Maharam Padua and Maharik Kolon  and is also quoted in responsa of contemporary authorities who consulted him on issues of Halacha. Seforno was admired for his wide knowledge by Henry II, King of France, to whom he sent a Latin translation he prepared of his philosophical work, Or Amim.	"עובדיה בן יעקב ספורנו היה רב, פרשן, הוגה דעות ואיש הלכה איטלקי שכתב פירוש על חלק ניכר של התורה. לאחר תקופת מוקדמת של נדודים הוא התיישב בבולוניה ושם הקים ישיבה. ספורנו היווה דמות להערצה בעיני החכמים בני זמנו, מהר""ם פדובה ומהרי""ק קולון, והוא מצוטט בשו""תים של חכמים מדורו שנועצו בו בענייני הלכה. המלך אנרי השני, מלך צרפת, העריכו עמוקות על הידע הרחב שלו, ועל התרגום ללטינית שכתב ספורנו של יצירתו ""אור עמים""."	https://en.wikipedia.org/wiki/Obadiah_ben_Jacob_Sforno	https://he.wikipedia.org/wiki/%D7%A2%D7%95%D7%91%D7%93%D7%99%D7%94_%D7%A1%D7%A4%D7%95%D7%A8%D7%A0%D7%95	http://www.jewishencyclopedia.com/articles/11646-obadiah-ben-jacob-sforno	http://referenceworks.brillonline.com/search
11	Rashba	HaRashba, Shlmo ben Adret	"רשב""א"	שלמה בן אדרת	1235.0	Barcelona, Spain	1310.0		Rishonim	Shlomo ben Avraham ibn Adret (Rashba) was a Spanish rabbi, Talmudic commentator, posek and community leader in the 14th century. He lived his entire life in Barcelona. He is considered the most outstanding student of the Ramban, and continued his approach in Talmudic exposition, authoring chiddushim (Talmudic novellae) on many tractates which remain mainstays of Torah study to this day. His yeshiva drew exceptional students from throughout the Jewish world, including quite a number from Germany. He functioned as chief rabbi of Spain and wrote over one thousand responsa to individuals and communities throughout the Jewish world. He was involved in opposition to Rambam's philosophical writings and prohibited the study of philosophy under the age of 25. He also defended Judaism to Christian and Moslem polemicists, and vigorously opposed the activity of R. Avraham Abulafia. He vigorously defended his work, Torat HaBayit, against R. Aharon Halevy's often strident comments.	"שלמה בן אברהם אבן אדרת (רשב""א) היה רב, פרשן תלמוד, פוסק ומנהיג קהילה ספרדי במאה ה-14. חי במשך כל חייו בברצלונה. נחשב לתלמיד המובהק ביותר של הרמב""ן, ולממשיך דרכו בפרשנות התלמוד. כתב חידושים על מסכתות רבות, והם נחשבים עד היום לעמודי תווך בלימוד תורה. הישיבה שלו משכה לספסליה תלמידים יוצאי דופן מכל רחבי העולם היהודי, כולל מספר נכבד מגרמניה. הוא פעל כרב הראשי של ספרד וכתב מעל אלף שו""תים, ליחידים ולקהילות בכל רחבי העולם היהודי. היה מעורב בהתנגדות לכתבים הפילוסופיים של הרמב""ם ואסר על לימוד פילוסופיה לתלמידים מתחת לגיל 25. הוא אף הגן על היהדות בפולמוסים עם נוצרים ומוסלמים, והתנגד נחרצות לפעילות של רבי אברהם אבולעפיה. הוא הגן בלהט על חיבורו ""תורת הבית"" נגד הערותיו הצורמניות של רבי אהרן הלוי."	https://en.wikipedia.org/wiki/Shlomo_ben_Aderet	https://he.wikipedia.org/wiki/%D7%A8%D7%A9%D7%91%22%D7%90	http://www.jewishencyclopedia.com/search?utf8=%E2%9C%93&keywords=solomon+ben+adret&commit=search	http://referenceworks.brillonline.com/search
