,source,target,value
0,Arakhin,Deuteronomy,34
1,Arakhin,Ecclesiastes,1
2,Arakhin,Exodus,45
3,Arakhin,Ezekiel,7
4,Arakhin,Ezra,8
5,Arakhin,Genesis,7
6,Arakhin,Hosea,2
7,Arakhin,I Chronicles,3
8,Arakhin,I Kings,2
9,Arakhin,I Samuel,3
10,Arakhin,II Chronicles,7
11,Arakhin,II Kings,3
12,Arakhin,II Samuel,1
13,Arakhin,Isaiah,4
14,Arakhin,Jeremiah,11
15,Arakhin,Job,1
16,Arakhin,Joshua,3
17,Arakhin,Judges,2
18,Arakhin,Lamentations,1
19,Arakhin,Leviticus,237
20,Arakhin,Nehemiah,3
21,Arakhin,Numbers,39
22,Arakhin,Proverbs,7
23,Arakhin,Psalms,35
24,Avodah Zarah,Amos,1
25,Avodah Zarah,Daniel,4
26,Avodah Zarah,Deuteronomy,110
27,Avodah Zarah,Ecclesiastes,4
28,Avodah Zarah,Exodus,40
29,Avodah Zarah,Ezekiel,8
30,Avodah Zarah,Genesis,47
31,Avodah Zarah,Habakkuk,3
32,Avodah Zarah,Haggai,1
33,Avodah Zarah,Hosea,4
34,Avodah Zarah,I Chronicles,1
35,Avodah Zarah,I Kings,4
36,Avodah Zarah,I Samuel,8
37,Avodah Zarah,II Chronicles,5
38,Avodah Zarah,II Kings,2
39,Avodah Zarah,II Samuel,7
40,Avodah Zarah,Isaiah,40
41,Avodah Zarah,Jeremiah,5
42,Avodah Zarah,Job,8
43,Avodah Zarah,Joshua,9
44,Avodah Zarah,Judges,8
45,Avodah Zarah,Lamentations,1
46,Avodah Zarah,Leviticus,34
47,Avodah Zarah,Malachi,3
48,Avodah Zarah,Micah,3
49,Avodah Zarah,Nahum,2
50,Avodah Zarah,Numbers,29
51,Avodah Zarah,Obadiah,2
52,Avodah Zarah,Proverbs,24
53,Avodah Zarah,Psalms,71
54,Avodah Zarah,Zechariah,2
55,Avodah Zarah,Zephaniah,6
56,Bava Batra,Amos,5
57,Bava Batra,Daniel,5
58,Bava Batra,Deuteronomy,84
59,Bava Batra,Ecclesiastes,6
60,Bava Batra,Esther,1
61,Bava Batra,Exodus,29
62,Bava Batra,Ezekiel,19
63,Bava Batra,Ezra,3
64,Bava Batra,Genesis,58
65,Bava Batra,Habakkuk,2
66,Bava Batra,Haggai,1
67,Bava Batra,Hosea,4
68,Bava Batra,I Chronicles,15
69,Bava Batra,I Kings,13
70,Bava Batra,I Samuel,6
71,Bava Batra,II Chronicles,2
72,Bava Batra,II Kings,4
73,Bava Batra,II Samuel,7
74,Bava Batra,Isaiah,43
75,Bava Batra,Jeremiah,22
76,Bava Batra,Job,70
77,Bava Batra,Joshua,17
78,Bava Batra,Judges,13
79,Bava Batra,Lamentations,1
80,Bava Batra,Leviticus,48
